league,player_id,salary,season,season_end,season_start,team
NBA,sasseja01,2706,1999-00,2000,1999,Dallas Mavericks
NBA,ollieke01,2853,1999-00,2000,1999,Dallas Mavericks
NBA,bowmair01,4529,1999-00,2000,1999,Dallas Mavericks
NBA,goodrst01,4529,1999-00,2000,1999,Philadelphia 76ers
NBA,wintetr01,4529,1999-00,2000,1999,Minnesota Timberwolves
NBA,jacksaa01,4608,2017-18,2018,2017,Houston Rockets
NBA,jeffeam01,4608,2017-18,2018,2017,Minnesota Timberwolves
NBA,brunsri01,5000,1997-98,1998,1997,Orlando Magic
NBA,kernejo01,5000,1999-00,2000,1999,Washington Wizards
NBA,pankoan01,5000,1999-00,2000,1999,Los Angeles Lakers
NBA,wrighho02,5000,1992-93,1993,1992,Orlando Magic
NBA,tavarwa01,5145,2016-17,2017,2016,Cleveland Cavaliers
NBA,georgta01,5260,1994-95,1995,1994,Philadelphia 76ers
NBA,shakumu01,5450,2007-08,2008,2007,Sacramento Kings
NBA,richapo01,5882,1999-00,2000,1999,Detroit Pistons
NBA,davisma02,6000,1999-00,2000,1999,Golden State Warriors
NBA,hovasto01,6140,1994-95,1995,1994,Atlanta Hawks
NBA,mortojo01,6735,1999-00,2000,1999,Golden State Warriors
NBA,horfoti01,7000,1992-93,1993,1992,Los Angeles Clippers
NBA,willilo01,7000,1992-93,1993,1992,Charlotte Hornets
NBA,uthofja01,7416,2017-18,2018,2017,Indiana Pacers
NBA,oliveji01,7471,1999-00,2000,1999,New York Knicks
NBA,werdaro01,7471,1999-00,2000,1999,Vancouver Grizzlies
NBA,blantri01,8000,1992-93,1993,1992,Chicago Bulls
NBA,lawsoty01,8313,2017-18,2018,2017,Washington Wizards
NBA,jonesda02,8819,2015-16,2016,2015,Cleveland Cavaliers
NBA,penneki01,8950,2003-04,2004,2003,Miami Heat
NBA,mundtto01,9660,1994-95,1995,1994,Milwaukee Bucks
NBA,daniell01,11400,1994-95,1995,1994,Philadelphia 76ers
NBA,hairspj02,11534,2016-17,2017,2016,Houston Rockets
NBA,mccalra01,11949,2016-17,2017,2016,Detroit Pistons
NBA,willima04,12890,2007-08,2008,2007,San Antonio Spurs
NBA,gaineco01,13000,1992-93,1993,1992,Seattle SuperSonics
NBA,othicma01,13000,1992-93,1993,1992,San Antonio Spurs
NBA,perkike01,13156,2017-18,2018,2017,Cleveland Cavaliers
NBA,courtjo01,13158,1994-95,1995,1994,Charlotte Hornets
NBA,ingraan01,13824,2017-18,2018,2017,Los Angeles Lakers
NBA,grandro01,15000,1992-93,1993,1992,Orlando Magic
NBA,conrowi01,15099,2006-07,2007,2006,Los Angeles Clippers
NBA,higgiro01,15800,1994-95,1995,1994,Golden State Warriors
NBA,miskija01,15982,1999-00,2000,1999,Charlotte Hornets
